x	y	n	trajectory
33	20	2	13595,13807,|17826,18049,18262,18477,18686,
33	21	6	10212,10423,10637,10851,11062,11278,11490,11707,11919,12126,12337,12549,12755,12966,13179,|16754,16964,17184,17395,|20642,20862,21083,21306,|23746,23969,24192,24412,24631,24850,25070,|27293,27519,|58730,58967,59202,59436,59672,59909,60143,
34	27	1	60380,60616,60844,61079,61309,61535,61759,
34	142	3	47466,47697,47928,48161,48392,48628,48850,|51136,51367,|51815,52051,52275,52506,52734,
34	291	1	47467,47698,47932,48163,48395,48629,48851,49083,49313,49535,49760,49991,50215,50444,50677,50906,51137,51369,51592,51816,52054,52276,52503,52735,52963,53197,53429,53656,53883,54117,54340,54573,54798,55027,55260,55489,55722,55952,56185,56421,56652,56887,57125,57348,57578,57809,58037,58267,58493,58731,58968,59204,59437,59674,59911,60146,60381,60617,60845,61080,61310,61536,61760,61980,62208,62440,62664,62897,63128,63359,63594,63828,
34	292	2	26408,26630,26854,|64284,64522,64750,64981,65218,65452,
34	294	1	27076,27295,27521,27741,27968,28187,28408,28627,28853,29084,29309,29538,29756,29982,30205,30429,30655,30870,31084,31300,31512,31727,31941,32152,32378,32598,32824,33042,33267,33497,33722,33958,34188,34420,34649,34875,35099,35326,35554,35781,36005,36230,36451,36672,36899,37126,37361,37585,37813,38042,38276,38502,38726,38950,39175,39398,39621,39846,40068,40290,40517,40733,
35	118	1	62666,62902,
35	159	1	10215,10426,10640,10854,11067,11281,11495,11710,11922,12131,
35	160	1	17399,17616,17829,18053,18266,
36	110	1	40959,41183,
36	111	1	50680,50909,51140,
36	117	5	1804, 2009, 2208, 2413, 2617, 2830, 3042, 3255, 3465, 3675, 3887, 4096, 4299, 4511, 4721, 4932, 5141, 5345, 5554, 5764, 5982, 6204, 6419, 6633, 6843, 7061, 7268, 7480, 7692, 7904, 8113, 8321, 8537, 8755, 8967, 9174, 9378, 9591, 9801,10009,10217,10429,10642,10856,11066,11283,11494,11712,11924,12130,12341,12553,12760,12972,13183,13392,13601,13812,14019,14231,14442,14647,14858,15064,15273,15481,15690,15904,16118,16329,16545,16758,16968,17188,17400,17617,17831,18054,18267,18481,18691,18911,19125,19342,19555,19770,19988,20201,20419,20647,20867,21088,21311,21528,21747,21972,22193,22417,22635,22860,23087,23309,23530,23751,23974,24196,24416,24636,24855,25075,25301,25523,25744,25969,26190,26411,26633,26855,27079,27298,27524,27743,27971,28190,28411,28629,28856,29087,29313,29541,29759,29985,30209,30432,30658,30873,31087,31303,31515,31730,31944,32155,32381,32601,32827,33045,33270,33500,33725,33961,34191,34423,34652,34878,35102,35329,35557,35785,36008,36232,36454,36675,36902,37129,37364,37588,37816,38045,38279,38505,38729,38954,39178,39401,39624,39849,40070,40293,40520,40736,40957,41184,41404,41623,41842,42061,42282,42516,42744,42969,43196,43421,43649,|44096,44316,44545,44766,44983,45206,45433,45661,45888,46115,46338,46562,46791,47020,47245,47470,47701,47930,48164,48396,48632,48853,49086,49314,49538,49758,49994,50217,50445,50681,50910,51141,51366,51595,51819,52055,52278,52505,52738,52966,53201,53431,53658,53886,54119,54343,54576,54799,55030,55263,55492,55725,55955,56188,56424,56655,56889,57123,57350,57581,57810,58040,58270,58496,58734,58970,59206,59439,59677,59914,60147,60384,60619,60847,|61313,61538,|62211,62442,|63597,63830,64061,64287,64520,64753,
36	160	1	12554,12758,12970,13184,13390,13599,13810,14020,14229,14440,
37	81	1	50682,50911,51142,51370,51596,51820,52056,52280,52508,
37	211	2	1209,1414,1614,|4301,4512,
37	212	3	11713,11925,12132,12342,12555,12761,12973,|13602,13813,14021,14232,14443,14648,|15065,15274,15482,15691,15905,16120,16330,16547,16759,16969,17189,17401,17618,17832,18055,18268,18482,18692,18912,19126,19343,19556,19771,19989,20202,20420,20648,20868,21089,21312,21529,21748,21974,22194,22418,22636,22861,23088,23310,23531,23752,23975,24197,24418,24637,24856,25076,25303,25524,25746,25970,26191,26412,26634,
37	213	1	5767, 5984, 6205, 6421, 6634, 6845, 7062, 7269, 7482, 7694, 7906, 8114, 8323, 8538, 8756, 8968, 9176, 9379, 9592, 9802,10010,10218,10430,
37	244	1	30874,31088,
38	162	2	14233,14444,14649,|15906,16119,
38	163	2	11285,11496,|15066,15275,15483,
38	210	2	216,422,624,830,|3677,3889,
39	40	3	11714,11926,12133,|20203,20422,|23753,23976,24198,
39	41	2	13815,14022,14235,|58042,58272,
39	162	1	10011,10220,
